txid,Trade Date,Description,Action,Quantity,Price,Commission,Net Amount,to_Currency,Account
LHPKDsx,2023-06-22,ATOM,staking,0.0552,0,0,0,USD,180201
LIXGZgh,2023-06-22,DOT,staking,0.9228,0,0,0,USD,180201
LHPKDfr,2023-06-22,ADA,staking,1.5704,0,0,0,USD,180201
LHPKDdf,2023-06-22,SOL,staking,0.0187,0,0,0,USD,180201
LHPKDqw,2023-06-23,LTC,deposit,1.9634,0,0,0,USD,180201
LHPKDsx,2023-06-29,ATOM,staking,0.0553,0,0,0,USD,180201
LIXGZgh,2023-06-29,ATOM,deposit,3.8226,0,0,0,USD,180201
LHPKDfr,2023-06-29,DOT,staking,0.9478,0,0,0,USD,180201
LHPKDdf,2023-06-29,ADA,staking,1.5806,0,0,0,USD,180201
LHPKDqw,2023-06-29,SOL,staking,0.0235,0,0,0,USD,180201
LHPKDsx,2023-06-23,LTC,sell,-1.9556,90.774,0,177.52,USD,180201
LIXGZgh,2023-06-25,SOL,buy,7.0000,16.834,0,-117.84,USD,180201
LHPKDfr,2023-06-28,LTC,sell,-2.0000,87.073,0,174.15,USD,180201
LHPKDdf,2023-06-29,ATOM,buy,7.0000,9.213,0,-64.49,USD,180201
LHPKDqw,2023-06-30,LTC,sell,-2.0000,93.791,0,187.58,USD,180201
LHPKDsx,2023-06-30,LTC,sell,-2.0000,105.989,0,211.98,USD,180201
