txid,Trade Date,Description,Action,Quantity,Price,Commission,Net Amount,to_Currency,Account
LG6Y5G,2023-06-05,BTCC,buy,200,4.98,-9.99,-1005.99,CAD,150101
LG6Y5G,2023-06-02,HBM,sell,-200,6.37,-9.99,1264.01,CAD,150101
LG6Y5G,2023-05-31,HBM,buy,200,5.75,-9.99,-1159.99,CAD,150101
LG6Y5G,2023-05-11,HBM,buy,200,12.475,-9.99,-1257.49,CAD,150101
LG6Y5G,2023-04-17,CAD,tfr-in,0,0,0,3000,CAD,150101
LG6Y5G,2023-06-16,TSLA,sell,-15,260.674,-9.99,3900.09,USD,150103
LG6Y5G,2023-06-12,DIA,div,30,0,0,18.51,USD,150103
LG6Y5G,2023-05-17,USD,int,5000,0,0,13.97,USD,150103
LG6Y5G,2023-05-15,DIA,div,30,0,0,4.7,USD,150103
LG6Y5G,2023-04-28,QQQ,div,35,0,0,14.05,USD,150103
LG6Y5G,2023-04-17,DIA,div,30,0,0,21.88,USD,150103
LG6Y5G,2023-06-14,AC,sell,-100,23.485,-9.99,2338.51,CAD,150107
LG6Y5G,2023-05-31,XDV,div,400,0,0,40,CAD,150107
LG6Y5G,2023-05-09,AC,sell,-200,21.16,-9.99,4222.01,CAD,150107
LG6Y5G,2023-04-28,XDV,div,400,0,0,40,CAD,150107
LG6Y5G,2023-04-26,CAD,tfrout,0,0,0,-594.01,CAD,150107
LG6Y5G,2023-04-19,AC,sell,-200,19.32,-9.99,3854.01,CAD,150107
